Open,Close,High,Low,Volume,Date
0,2106,2113.25,2099.59,1,817.00,03/08/18
0,2097,2136.35,2096.85,6,398.00,03/07/18
0,2147,2147.61,2147,985.00,03/06/18
0,2145.5,2150.85,2140,1,493.00,03/05/18
0,2149,2160.25,2139.33,1,878.00,03/02/18
0,2147,2151.61,2122.89,1,662.00,03/01/18
0,2132,2150.25,2131.75,2,380.00,02/28/18
0,2147,2150.71,2142.87,2,559.00,02/27/18
0,2138,2166.29,2137,1,974.00,02/26/18
0,2140,2190.5,2139.85,1,723.00,02/23/18
0,2185,2185.94,2163.25,1,804.00,02/22/18
0,2201,2201.15,2166.71,1,434.00,02/21/18
0,2185,2215.48,2184.85,1,727.00,02/20/18
0,2214,2224.15,2175,891.00,02/19/18
0,2208,2213,2165.75,3,445.00,02/16/18
0,2165,2195.85,2157.04,2,020.00,02/15/18
0,2177.5,2192,2120.85,3,043.00,02/14/18
0,2139,2146,2125.65,3,726.00,02/13/18
0,2125,2149.25,2123,1,941.00,02/12/18
0,2123,2164.5,2122.85,2,226.00,02/09/18
0,2170,2173.5,2150.28,2,182.00,02/08/18
0,2158,2203,2156.75,4,484.00,02/07/18
0,2170,2195.08,2170,2,878.00,02/06/18
0,2211,2212.65,2200.03,1,503.00,02/05/18
0,2210,2231,2209,2,327.00,02/02/18
0,2225,2227,2195.4,2,046.00,02/01/18
0,2219.5,2225,2213.35,2,628.00,01/31/18
0,2207,2239.75,2199,1,756.00,01/30/18
0,2225,2266.5,2224.75,1,925.00,01/29/18
0,2257,2260.25,2230,1,912.00,01/26/18
0,2241,2266,2240,1,448.00,01/25/18
0,2250,2280.85,2213.5,2,071.00,01/24/18
0,2229.5,2247.75,2214,2,321.00,01/23/18
0,2249,2250,2221.5,1,440.00,01/22/18
0,2220,2220.25,2219,996.00,01/19/18
0,2241,2241.15,2196.29,1,559.00,01/18/18
0,2192,2196.23,2188,1,881.00,01/17/18
0,2189,2214.5,2175,1,705.00,01/16/18
0,2227,2239,2221,1,312.00,01/15/18
0,2214,2222.9,2193,1,896.00,01/12/18
0,2175.5,2205.25,2173.98,1,868.00,01/11/18
0,2182,2182.94,2159.75,1,635.00,01/10/18
0,2152.5,2181.75,2152.35,2,649.00,01/09/18
0,2175,2207.85,2171.15,4,883.00,01/08/18
0,2202.5,2251,2202.35,2,146.00,01/05/18
0,2250,2250.2,2216.25,1,955.00,01/04/18
0,2228,2257,2228,3,204.00,01/03/18
0,2264.5,2275.25,2255,1,977.00,01/02/18
